iteration,direction,angle,datayear,intensity mean,intensity sd,sundist,color
a,e,40,2024,5.82E+04,1.83E+03,93.59956,b
a,e,45,2024,5.98E+04,1.83E+03,97.55075,b
a,e,50,2024,6.22E+04,2.00E+03,101.5382,b
a,e,55,2024,6.68E+04,2.12E+03,105.5117,b
a,e,60,2024,6.63E+04,2.11E+03,109.4536,b
a,e,65,2024,6.64E+04,2.15E+03,113.3078,b
a,e,70,2024,6.68E+04,2.16E+03,117.0853,b
a,e,75,2024,4.88E+04,1.51E+03,120.7508,b
a,e,80,2024,4.30E+04,1.33E+03,124.2642,b
a,e,40,2024,5.83E+04,2.00E+03,93.59956,y
a,e,45,2024,6.06E+04,2.11E+03,97.55075,y
a,e,50,2024,6.33E+04,2.10E+03,101.5382,y
a,e,55,2024,6.87E+04,2.35E+03,105.5117,y
a,e,60,2024,6.92E+04,2.47E+03,109.4536,y
a,e,65,2024,6.90E+04,2.44E+03,113.3078,y
a,e,70,2024,7.03E+04,2.51E+03,117.0853,y
a,e,75,2024,5.12E+04,1.81E+03,120.7508,y
a,e,80,2024,4.43E+04,1.63E+03,124.2642,y
a,e,40,2024,3.21E+04,1.41E+02,93.59956,r
a,e,45,2024,3.34E+04,1.82E+02,97.55075,r
a,e,50,2024,3.49E+04,2.11E+02,101.5382,r
a,e,55,2024,3.79E+04,1.79E+02,105.5117,r
a,e,60,2024,3.84E+04,1.71E+02,109.4536,r
a,e,65,2024,3.85E+04,1.43E+02,113.3078,r
a,e,70,2024,3.95E+04,1.61E+02,117.0853,r
a,e,75,2024,2.83E+04,1.05E+02,120.7508,r
a,e,80,2024,2.46E+04,1.13E+02,124.2642,r
a,e,40,2024,4.36E+04,1.17E+03,93.59956,ir
a,e,45,2024,4.52E+04,1.24E+03,97.55075,ir
a,e,50,2024,4.72E+04,1.28E+03,101.5382,ir
a,e,55,2024,5.09E+04,1.43E+03,105.5117,ir
a,e,60,2024,5.16E+04,1.50E+03,109.4536,ir
a,e,65,2024,5.17E+04,1.47E+03,113.3078,ir
a,e,70,2024,5.31E+04,1.50E+03,117.0853,ir
a,e,75,2024,3.95E+04,1.19E+03,120.7508,ir
a,e,80,2024,3.42E+04,1.07E+03,124.2642,ir
b,e,40,2024,5.82E+04,1.83E+03,93.603,b
b,e,45,2024,5.98E+04,1.83E+03,97.55075,b
b,e,50,2024,6.22E+04,2.00E+03,101.5419,b
